time,src,dst,protocol,length
1784852068.8534973,192.168.8.138,172.64.155.209,6,1454
1784852068.8540564,192.168.8.138,172.64.155.209,6,1454
1784852068.8719463,192.168.8.138,172.64.155.209,6,871
1784852068.8799453,192.168.8.138,172.64.155.209,6,1454
1784852068.8862994,192.168.8.138,172.64.155.209,6,1454
1784852068.8934042,192.168.8.138,172.64.155.209,6,1454
1784852068.8969228,192.168.8.138,172.64.155.209,6,1454
1784852068.9032145,192.168.8.138,172.64.155.209,6,1454
1784852068.9074905,192.168.8.138,172.64.155.209,6,1454
1784852068.9090002,192.168.8.138,172.64.155.209,6,862
1784852068.911013,192.168.8.138,172.64.155.209,6,1454
1784852068.9150999,172.64.155.209,192.168.8.138,6,54
1784852068.9161868,172.64.155.209,192.168.8.138,6,54
1784852068.9198873,172.64.155.209,192.168.8.138,6,54
1784852068.9228265,172.64.155.209,192.168.8.138,6,54
1784852068.9258413,192.168.8.138,172.64.155.209,6,1454
1784852068.9288428,192.168.8.138,172.64.155.209,6,1454
1784852068.9303544,192.168.8.138,172.64.155.209,6,1454
1784852068.9313667,192.168.8.138,172.64.155.209,6,1454
1784852068.9323702,192.168.8.138,172.64.155.209,6,1454
1784852068.9334595,192.168.8.138,172.64.155.209,6,1454
1784852068.93447,172.64.155.209,192.168.8.138,6,54
1784852068.93447,172.64.155.209,192.168.8.138,6,54
1784852068.935485,172.64.155.209,192.168.8.138,6,54
1784852068.9364836,172.64.155.209,192.168.8.138,6,54
1784852068.9364836,172.64.155.209,192.168.8.138,6,54
1784852068.9374828,172.64.155.209,192.168.8.138,6,54
1784852068.9374828,172.64.155.209,192.168.8.138,6,54
1784852068.9384832,192.168.8.138,172.64.155.209,6,1454
1784852068.9396448,192.168.8.138,172.64.155.209,6,1454
1784852068.940775,192.168.8.138,172.64.155.209,6,1454
1784852068.940775,192.168.8.138,172.64.155.209,6,1454
1784852068.9432755,192.168.8.138,172.64.155.209,6,1454
1784852068.946592,192.168.8.138,172.64.155.209,6,1454
1784852068.9475904,192.168.8.138,172.64.155.209,6,1454
1784852068.949449,192.168.8.138,172.64.155.209,6,1454
1784852068.949449,192.168.8.138,172.64.155.209,6,1454
1784852068.9509616,192.168.8.138,172.64.155.209,6,1454
1784852068.9523828,192.168.8.138,172.64.155.209,6,1454
1784852068.952893,192.168.8.138,172.64.155.209,6,1454
1784852068.953909,192.168.8.138,172.64.155.209,6,1454
1784852068.954947,192.168.8.138,172.64.155.209,6,1454
1784852068.9559445,192.168.8.138,172.64.155.209,6,1454
1784852068.9559445,192.168.8.138,172.64.155.209,6,1454
1784852068.9572766,192.168.8.138,172.64.155.209,6,1454
1784852068.9572766,172.64.155.209,192.168.8.138,6,54
1784852068.9583268,172.64.155.209,192.168.8.138,6,54
1784852068.9583268,172.64.155.209,192.168.8.138,6,54
1784852068.9593782,172.64.155.209,192.168.8.138,6,54
1784852068.9593782,172.64.155.209,192.168.8.138,6,54
